
SetupTitle, IdVg
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -14
TestParameter, Output.Graph.XAxis.Right, 0
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, ID, IG
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.01, -0.1
TestParameter, Output.Graph.YAxis.Top, 0.01, 0.1
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 05/02/2022 17:33:07
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 2
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 80/5 IVgsVds
MetaData, TestRecord.LinkKey, 1221dc1e-98ca-41a6-9a36-e8f1bede0ffa
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -14
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, ID, IG
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -1.2E-09, -1.3E-08
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.00054, 2.6E-12
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 2.2222172839615914E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 2.2222172839615914E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 2.2222172839615914E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 2.2222172839615914E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 2.2222172839615914E-06
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:HR, Name=VG, Direction=Single, Linear/Log=LINEAR, Start=-14 V, Stop=0 V, Step=200 mV, No. of Steps=71, Compliance=100 mA, Pwr Comp=OFF	[VAR2] Unit=SMU4:HR, Name=VD, Start=0 V, Stop=10 V, Step=200 mV, No. of Steps=51, Compliance=10 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU3:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=10 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VD	0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10	0	0.2	51
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, IdVg
Dimension1, 71, 71, 71
Dimension2, 51, 51, 51
DataName, VG, IG, ID
DataValue, -14, -3.0287E-10, 1.5824000000000001E-10
DataValue, -13.8, -3.0242000000000003E-10, 1.5498000000000002E-10
DataValue, -13.6, -2.9646000000000003E-10, 1.5133E-10
DataValue, -13.4, -2.904E-10, 1.4863E-10
DataValue, -13.200000000000001, -2.8380000000000004E-10, 1.4551000000000002E-10
DataValue, -13, -2.7826000000000003E-10, 1.4226E-10
DataValue, -12.8, -2.7232E-10, 1.3912E-10
DataValue, -12.6, -2.6646000000000003E-10, 1.3623E-10
DataValue, -12.4, -2.6013E-10, 1.3339000000000002E-10
DataValue, -12.200000000000001, -2.549E-10, 1.2979E-10
DataValue, -12, -2.4916E-10, 1.2611000000000002E-10
DataValue, -11.8, -2.426E-10, 1.223E-10
DataValue, -11.6, -2.37E-10, 1.1674E-10
DataValue, -11.4, -2.3119E-10, 1.1302000000000001E-10
DataValue, -11.200000000000001, -2.2525000000000002E-10, 1.1063000000000001E-10
DataValue, -11, -2.1966000000000002E-10, 1.0082000000000001E-10
DataValue, -10.8, -2.1396000000000003E-10, 9.212E-11
DataValue, -10.6, -2.0837000000000003E-10, 8.531E-11
DataValue, -10.4, -2.0258E-10, 6.5820000000000012E-11
DataValue, -10.200000000000001, -1.973E-10, 6.4360000000000011E-11
DataValue, -10, -1.919E-10, 4.275E-11
DataValue, -9.8, -1.8615000000000002E-10, 4.0880000000000005E-11
DataValue, -9.6, -1.8096000000000001E-10, 1.8780000000000002E-11
DataValue, -9.4, -1.7541000000000002E-10, -1.0840000000000002E-11
DataValue, -9.2000000000000011, -1.7022E-10, -3.369E-11
DataValue, -9, -1.6482E-10, -6.245E-11
DataValue, -8.8, -1.5972000000000002E-10, -4.548E-11
DataValue, -8.6, -1.5475E-10, -1.2192E-10
DataValue, -8.4, -1.4966E-10, -1.6375E-10
DataValue, -8.2, -1.4429E-10, -9.906E-11
DataValue, -8, -1.3961000000000002E-10, -1.9526E-10
DataValue, -7.8, -1.3464E-10, -2.0702000000000003E-10
DataValue, -7.6000000000000005, -1.2979E-10, -2.6666000000000004E-10
DataValue, -7.4, -1.2488E-10, -3.2220000000000004E-10
DataValue, -7.2, -1.1993000000000002E-10, -3.7534E-10
DataValue, -7, -1.1512000000000001E-10, -4.2903E-10
DataValue, -6.8, -1.1095000000000002E-10, -4.6477000000000004E-10
DataValue, -6.6000000000000005, -1.0603000000000001E-10, -4.8E-10
DataValue, -6.4, -1.0168E-10, -5.4829000000000008E-10
DataValue, -6.2, -9.721E-11, -6.0443000000000005E-10
DataValue, -6, -9.2430000000000011E-11, -6.1541E-10
DataValue, -5.8, -8.869E-11, -7.1878000000000008E-10
DataValue, -5.6000000000000005, -8.449000000000001E-11, -7.5283000000000008E-10
DataValue, -5.4, -8.037E-11, -8.2363000000000008E-10
DataValue, -5.2, -7.624E-11, -8.1275000000000011E-10
DataValue, -5, -7.2310000000000007E-11, -8.9792E-10
DataValue, -4.8, -6.819E-11, -9.4978E-10
DataValue, -4.6000000000000005, -6.418E-11, -1.0636700000000001E-09
DataValue, -4.4, -6.0700000000000008E-11, -1.15104E-09
DataValue, -4.2, -5.6650000000000006E-11, -1.15104E-09
DataValue, -4, -5.3180000000000004E-11, -1.15104E-09
DataValue, -3.8000000000000003, -4.978E-11, -1.1510300000000001E-09
DataValue, -3.6, -4.611E-11, -1.15104E-09
DataValue, -3.4, -4.236E-11, -6.4349E-10
DataValue, -3.2, -3.973E-11, -1.1510300000000001E-09
DataValue, -3, -3.6370000000000006E-11, -1.1510300000000001E-09
DataValue, -2.8000000000000003, -3.365E-11, -5.1045E-10
DataValue, -2.6, -3.015E-11, -1.1510300000000001E-09
DataValue, -2.4, -2.7290000000000003E-11, -1.1510300000000001E-09
DataValue, -2.2, -2.3950000000000002E-11, -4.9344E-10
DataValue, -2, -2.132E-11, -1.1510300000000001E-09
DataValue, -1.8, -1.817E-11, -6.6453000000000008E-10
DataValue, -1.6, -1.595E-11, -1.1510300000000001E-09
DataValue, -1.4000000000000001, -1.3090000000000002E-11, -5.8012000000000006E-10
DataValue, -1.2, -1.0710000000000001E-11, -1.15104E-09
DataValue, -1, -8.22E-12, -6.9390000000000005E-10
DataValue, -0.8, -5.8600000000000005E-12, -1.1510300000000001E-09
DataValue, -0.6, -3.3600000000000002E-12, -6.4727000000000008E-10
DataValue, -0.4, -1.37E-12, -1.1510300000000001E-09
DataValue, -0.2, 6.6E-13, -6.0940000000000009E-10
DataValue, 0, 2.5600000000000004E-12, -1.15104E-09
DataValue, -14, -4.8409E-10, 2.6559E-10
DataValue, -13.8, -4.8322E-10, 2.7308E-10
DataValue, -13.6, -4.7392000000000006E-10, 3.004E-10
DataValue, -13.4, -4.6456000000000005E-10, 3.7455E-10
DataValue, -13.200000000000001, -4.5582000000000003E-10, 5.5092E-10
DataValue, -13, -4.4664E-10, 9.3796000000000014E-10
DataValue, -12.8, -4.4174E-10, 1.6237E-09
DataValue, -12.6, -4.3249E-10, 3.1915E-09
DataValue, -12.4, -4.2342E-10, 5.9704E-09
DataValue, -12.200000000000001, -4.1401000000000005E-10, 1.0506799999999999E-08
DataValue, -12, -4.0638000000000005E-10, 1.8322999999999998E-08
DataValue, -11.8, -3.9761000000000004E-10, 3.0484E-08
DataValue, -11.6, -3.8903000000000005E-10, 4.8599E-08
DataValue, -11.4, -3.8025E-10, 7.4766E-08
DataValue, -11.200000000000001, -3.7146000000000003E-10, 1.1108E-07
DataValue, -11, -3.6283000000000003E-10, 1.595E-07
DataValue, -10.8, -3.5362E-10, 2.2206E-07
DataValue, -10.6, -3.4475E-10, 3.0108E-07
DataValue, -10.4, -3.3588000000000003E-10, 3.9758E-07
DataValue, -10.200000000000001, -3.2723E-10, 5.1358E-07
DataValue, -10, -3.1831E-10, 6.4908E-07
DataValue, -9.8, -3.0966000000000005E-10, 8.0658E-07
DataValue, -9.6, -3.0136000000000003E-10, 9.8562E-07
DataValue, -9.4, -2.9295E-10, 1.1793E-06
DataValue, -9.2000000000000011, -2.8506000000000005E-10, 1.4040000000000002E-06
DataValue, -9, -2.7685000000000003E-10, 1.6479000000000001E-06
DataValue, -8.8, -2.6839000000000004E-10, 1.9097E-06
DataValue, -8.6, -2.6011000000000005E-10, 2.1919E-06
DataValue, -8.4, -2.52E-10, 2.4908000000000004E-06
DataValue, -8.2, -2.4384E-10, 2.8070000000000004E-06
DataValue, -8, -2.3585E-10, 3.137E-06
DataValue, -7.8, -2.2780000000000003E-10, 3.4819000000000005E-06
DataValue, -7.6000000000000005, -2.2023000000000002E-10, 3.8396000000000005E-06
DataValue, -7.4, -2.1253000000000002E-10, 4.2088E-06
DataValue, -7.2, -2.0470000000000003E-10, 4.5857000000000008E-06
DataValue, -7, -1.9713000000000002E-10, 4.9726000000000005E-06
DataValue, -6.8, -1.8962000000000001E-10, 5.3669E-06
DataValue, -6.6000000000000005, -1.8254000000000002E-10, 5.7666000000000008E-06
DataValue, -6.4, -1.7535000000000002E-10, 6.1703000000000009E-06
DataValue, -6.2, -1.6799E-10, 6.5785000000000006E-06
DataValue, -6, -1.6077E-10, 6.9885000000000009E-06
DataValue, -5.8, -1.5424E-10, 7.4012E-06
DataValue, -5.6000000000000005, -1.4741E-10, 7.8142E-06
DataValue, -5.4, -1.4052000000000002E-10, 8.2274E-06
DataValue, -5.2, -1.3398E-10, 8.6397000000000013E-06
DataValue, -5, -1.2758000000000001E-10, 9.0488E-06
DataValue, -4.8, -1.2095E-10, 9.4576E-06
DataValue, -4.6000000000000005, -1.1473000000000001E-10, 9.8638E-06
DataValue, -4.4, -1.0835E-10, 1.02665E-05
DataValue, -4.2, -1.0214000000000001E-10, 1.06658E-05
DataValue, -4, -9.6120000000000013E-11, 1.1061200000000002E-05
DataValue, -3.8000000000000003, -9.01E-11, 1.1453400000000001E-05
DataValue, -3.6, -8.4460000000000011E-11, 1.1836E-05
DataValue, -3.4, -7.8310000000000012E-11, 1.2218E-05
DataValue, -3.2, -7.269000000000001E-11, 1.2594E-05
DataValue, -3, -6.752E-11, 1.2966000000000001E-05
DataValue, -2.8000000000000003, -6.1610000000000007E-11, 1.3334E-05
DataValue, -2.6, -5.641E-11, 1.3694E-05
DataValue, -2.4, -5.1250000000000004E-11, 1.4048E-05
DataValue, -2.2, -4.581E-11, 1.4398E-05
DataValue, -2, -4.1280000000000005E-11, 1.4742E-05
DataValue, -1.8, -3.612E-11, 1.5080000000000001E-05
DataValue, -1.6, -3.1440000000000003E-11, 1.541E-05
DataValue, -1.4000000000000001, -2.6590000000000002E-11, 1.5736E-05
DataValue, -1.2, -2.234E-11, 1.6056E-05
DataValue, -1, -1.823E-11, 1.637E-05
DataValue, -0.8, -1.3560000000000001E-11, 1.668E-05
DataValue, -0.6, -9.37E-12, 1.6982E-05
